transaction_id,statement_id,date,amount,description,company_name,branch_name,branch_id,bank_name,user_id,company_id
1,1,2015-05-23,-679.82,Transaction 1,Apple_India,Hyderabad,1,SBI,1,1
2,1,2015-05-14,-677.56,Transaction 2,Apple_India,Hyderabad,1,SBI,1,1
3,1,2015-05-18,-336.05,Transaction 3,Apple_India,Hyderabad,1,SBI,1,1
4,1,2015-05-29,564.34,Transaction 4,Apple_India,Hyderabad,1,SBI,1,1
5,1,2015-05-04,250.44,Transaction 5,Apple_India,Hyderabad,1,SBI,1,1
6,1,2015-05-13,700.28,Transaction 6,Apple_India,Hyderabad,1,SBI,1,1
7,1,2015-05-10,-122.06,Transaction 7,Apple_India,Hyderabad,1,SBI,1,1
8,1,2015-05-27,558.51,Transaction 8,Apple_India,Hyderabad,1,SBI,1,1
9,1,2015-05-12,-780.07,Transaction 9,Apple_India,Hyderabad,1,SBI,1,1
10,1,2015-05-02,-762.11,Transaction 10,Apple_India,Hyderabad,1,SBI,1,1
11,1,2015-05-21,-231.92,Transaction 11,Apple_India,Hyderabad,1,SBI,1,1
12,1,2015-05-05,-813.38,Transaction 12,Apple_India,Hyderabad,1,SBI,1,1
13,1,2015-05-19,-941.1,Transaction 13,Apple_India,Hyderabad,1,SBI,1,1
14,1,2015-05-07,551.81,Transaction 14,Apple_India,Hyderabad,1,SBI,1,1
15,1,2015-05-05,146.96,Transaction 15,Apple_India,Hyderabad,1,SBI,1,1
16,1,2015-05-21,-11.05,Transaction 16,Apple_India,Hyderabad,1,SBI,1,1
17,1,2015-05-13,-217.02,Transaction 17,Apple_India,Hyderabad,1,SBI,1,1
18,1,2015-05-06,-601.65,Transaction 18,Apple_India,Hyderabad,1,SBI,1,1
19,1,2015-05-29,-368.2,Transaction 19,Apple_India,Hyderabad,1,SBI,1,1
20,1,2015-05-12,515.48,Transaction 20,Apple_India,Hyderabad,1,SBI,1,1
21,1,2015-05-30,-968.19,Transaction 21,Apple_India,Hyderabad,1,SBI,1,1
22,1,2015-05-18,601.51,Transaction 22,Apple_India,Hyderabad,1,SBI,1,1
23,1,2015-05-07,797.5,Transaction 23,Apple_India,Hyderabad,1,SBI,1,1
24,1,2015-05-30,261.77,Transaction 24,Apple_India,Hyderabad,1,SBI,1,1
25,1,2015-05-27,-971.77,Transaction 25,Apple_India,Hyderabad,1,SBI,1,1
26,1,2015-05-13,521.24,Transaction 26,Apple_India,Hyderabad,1,SBI,1,1
27,1,2015-05-02,389.2,Transaction 27,Apple_India,Hyderabad,1,SBI,1,1
28,1,2015-05-07,991.77,Transaction 28,Apple_India,Hyderabad,1,SBI,1,1
29,1,2015-05-05,-197.66,Transaction 29,Apple_India,Hyderabad,1,SBI,1,1
30,1,2015-05-02,-577.28,Transaction 30,Apple_India,Hyderabad,1,SBI,1,1
31,1,2015-05-07,629.06,Transaction 31,Apple_India,Hyderabad,1,SBI,1,1
32,1,2015-05-08,115.77,Transaction 32,Apple_India,Hyderabad,1,SBI,1,1
33,1,2015-05-27,437.12,Transaction 33,Apple_India,Hyderabad,1,SBI,1,1
34,1,2015-05-11,-839.29,Transaction 34,Apple_India,Hyderabad,1,SBI,1,1
35,1,2015-05-13,-673.03,Transaction 35,Apple_India,Hyderabad,1,SBI,1,1
36,1,2015-05-05,-36.39,Transaction 36,Apple_India,Hyderabad,1,SBI,1,1
37,1,2015-05-25,-532.59,Transaction 37,Apple_India,Hyderabad,1,SBI,1,1
38,1,2015-05-22,-80.58,Transaction 38,Apple_India,Hyderabad,1,SBI,1,1
39,1,2015-05-08,666.12,Transaction 39,Apple_India,Hyderabad,1,SBI,1,1
40,1,2015-05-08,809.03,Transaction 40,Apple_India,Hyderabad,1,SBI,1,1
41,1,2015-05-27,493.64,Transaction 41,Apple_India,Hyderabad,1,SBI,1,1
42,1,2015-05-05,555.12,Transaction 42,Apple_India,Hyderabad,1,SBI,1,1
43,1,2015-05-29,841.15,Transaction 43,Apple_India,Hyderabad,1,SBI,1,1
44,1,2015-05-23,870.67,Transaction 44,Apple_India,Hyderabad,1,SBI,1,1
45,1,2015-05-16,950.04,Transaction 45,Apple_India,Hyderabad,1,SBI,1,1
46,1,2015-05-05,-315.89,Transaction 46,Apple_India,Hyderabad,1,SBI,1,1
47,1,2015-05-24,102.64,Transaction 47,Apple_India,Hyderabad,1,SBI,1,1
48,1,2015-05-24,111.98,Transaction 48,Apple_India,Hyderabad,1,SBI,1,1
49,1,2015-05-24,770.13,Transaction 49,Apple_India,Hyderabad,1,SBI,1,1
50,1,2015-05-15,-779.79,Transaction 50,Apple_India,Hyderabad,1,SBI,1,1
51,1,2015-05-01,-388.05,Transaction 51,Apple_India,Hyderabad,1,SBI,1,1
52,1,2015-05-05,128.98,Transaction 52,Apple_India,Hyderabad,1,SBI,1,1
53,1,2015-05-16,409.11,Transaction 53,Apple_India,Hyderabad,1,SBI,1,1
54,1,2015-05-14,-50.3,Transaction 54,Apple_India,Hyderabad,1,SBI,1,1
55,1,2015-05-12,-867.84,Transaction 55,Apple_India,Hyderabad,1,SBI,1,1
56,1,2015-05-17,-537.05,Transaction 56,Apple_India,Hyderabad,1,SBI,1,1
57,1,2015-05-24,-530.67,Transaction 57,Apple_India,Hyderabad,1,SBI,1,1
58,1,2015-05-26,710.74,Transaction 58,Apple_India,Hyderabad,1,SBI,1,1
59,1,2015-05-27,27.92,Transaction 59,Apple_India,Hyderabad,1,SBI,1,1
60,1,2015-05-02,988.28,Transaction 60,Apple_India,Hyderabad,1,SBI,1,1
61,1,2015-05-04,395.15,Transaction 61,Apple_India,Hyderabad,1,SBI,1,1
62,1,2015-05-21,-433.51,Transaction 62,Apple_India,Hyderabad,1,SBI,1,1
63,1,2015-05-03,480.94,Transaction 63,Apple_India,Hyderabad,1,SBI,1,1
64,1,2015-05-28,-382.72,Transaction 64,Apple_India,Hyderabad,1,SBI,1,1
65,1,2015-05-18,783.93,Transaction 65,Apple_India,Hyderabad,1,SBI,1,1
66,1,2015-05-12,-493.58,Transaction 66,Apple_India,Hyderabad,1,SBI,1,1
67,1,2015-05-25,507.17,Transaction 67,Apple_India,Hyderabad,1,SBI,1,1
68,1,2015-05-18,272.27,Transaction 68,Apple_India,Hyderabad,1,SBI,1,1
69,1,2015-05-12,-819.87,Transaction 69,Apple_India,Hyderabad,1,SBI,1,1
70,1,2015-05-11,-318.13,Transaction 70,Apple_India,Hyderabad,1,SBI,1,1
71,1,2015-05-16,467.89,Transaction 71,Apple_India,Hyderabad,1,SBI,1,1
72,1,2015-05-08,811.92,Transaction 72,Apple_India,Hyderabad,1,SBI,1,1
73,1,2015-05-09,-69.54,Transaction 73,Apple_India,Hyderabad,1,SBI,1,1
74,1,2015-05-05,963.17,Transaction 74,Apple_India,Hyderabad,1,SBI,1,1
75,1,2015-05-24,-8.97,Transaction 75,Apple_India,Hyderabad,1,SBI,1,1
76,1,2015-05-03,120.65,Transaction 76,Apple_India,Hyderabad,1,SBI,1,1
77,1,2015-05-27,86.64,Transaction 77,Apple_India,Hyderabad,1,SBI,1,1
78,1,2015-05-02,-512.97,Transaction 78,Apple_India,Hyderabad,1,SBI,1,1
79,1,2015-05-05,-325.83,Transaction 79,Apple_India,Hyderabad,1,SBI,1,1
80,1,2015-05-21,294.4,Transaction 80,Apple_India,Hyderabad,1,SBI,1,1
81,1,2015-05-08,218.55,Transaction 81,Apple_India,Hyderabad,1,SBI,1,1
82,1,2015-05-11,-225.83,Transaction 82,Apple_India,Hyderabad,1,SBI,1,1
83,1,2015-05-02,-131.86,Transaction 83,Apple_India,Hyderabad,1,SBI,1,1
84,1,2015-05-17,392.0,Transaction 84,Apple_India,Hyderabad,1,SBI,1,1
