transaction_id,statement_id,date,amount,description,company_name,branch_name,branch_id,bank_name,user_id,company_id
1,2,2015-05-01,493.1,Transaction 1,Apple_India,Mumbai,2,SBI,1,1
2,2,2015-05-10,283.91,Transaction 2,Apple_India,Mumbai,2,SBI,1,1
3,2,2015-05-30,130.97,Transaction 3,Apple_India,Mumbai,2,SBI,1,1
4,2,2015-05-28,-169.46,Transaction 4,Apple_India,Mumbai,2,SBI,1,1
5,2,2015-05-20,-376.74,Transaction 5,Apple_India,Mumbai,2,SBI,1,1
6,2,2015-05-09,687.42,Transaction 6,Apple_India,Mumbai,2,SBI,1,1
7,2,2015-05-16,896.93,Transaction 7,Apple_India,Mumbai,2,SBI,1,1
8,2,2015-05-23,-313.6,Transaction 8,Apple_India,Mumbai,2,SBI,1,1
9,2,2015-05-26,-825.68,Transaction 9,Apple_India,Mumbai,2,SBI,1,1
10,2,2015-05-05,27.28,Transaction 10,Apple_India,Mumbai,2,SBI,1,1
11,2,2015-05-23,-489.96,Transaction 11,Apple_India,Mumbai,2,SBI,1,1
12,2,2015-05-10,-800.63,Transaction 12,Apple_India,Mumbai,2,SBI,1,1
13,2,2015-05-11,53.15,Transaction 13,Apple_India,Mumbai,2,SBI,1,1
14,2,2015-05-20,690.84,Transaction 14,Apple_India,Mumbai,2,SBI,1,1
15,2,2015-05-03,-681.05,Transaction 15,Apple_India,Mumbai,2,SBI,1,1
16,2,2015-05-20,559.46,Transaction 16,Apple_India,Mumbai,2,SBI,1,1
17,2,2015-05-18,-811.81,Transaction 17,Apple_India,Mumbai,2,SBI,1,1
18,2,2015-05-17,-762.34,Transaction 18,Apple_India,Mumbai,2,SBI,1,1
19,2,2015-05-25,-963.82,Transaction 19,Apple_India,Mumbai,2,SBI,1,1
20,2,2015-05-17,-468.91,Transaction 20,Apple_India,Mumbai,2,SBI,1,1
21,2,2015-05-19,-105.37,Transaction 21,Apple_India,Mumbai,2,SBI,1,1
22,2,2015-05-04,794.63,Transaction 22,Apple_India,Mumbai,2,SBI,1,1
23,2,2015-05-15,601.33,Transaction 23,Apple_India,Mumbai,2,SBI,1,1
24,2,2015-05-09,-742.16,Transaction 24,Apple_India,Mumbai,2,SBI,1,1
25,2,2015-05-08,807.99,Transaction 25,Apple_India,Mumbai,2,SBI,1,1
26,2,2015-05-18,-621.73,Transaction 26,Apple_India,Mumbai,2,SBI,1,1
27,2,2015-05-16,815.17,Transaction 27,Apple_India,Mumbai,2,SBI,1,1
28,2,2015-05-22,610.45,Transaction 28,Apple_India,Mumbai,2,SBI,1,1
29,2,2015-05-27,852.01,Transaction 29,Apple_India,Mumbai,2,SBI,1,1
30,2,2015-05-09,212.69,Transaction 30,Apple_India,Mumbai,2,SBI,1,1
31,2,2015-05-06,316.56,Transaction 31,Apple_India,Mumbai,2,SBI,1,1
32,2,2015-05-18,923.55,Transaction 32,Apple_India,Mumbai,2,SBI,1,1
33,2,2015-05-12,926.34,Transaction 33,Apple_India,Mumbai,2,SBI,1,1
34,2,2015-05-02,-159.45,Transaction 34,Apple_India,Mumbai,2,SBI,1,1
35,2,2015-05-23,902.81,Transaction 35,Apple_India,Mumbai,2,SBI,1,1
36,2,2015-05-17,-766.71,Transaction 36,Apple_India,Mumbai,2,SBI,1,1
37,2,2015-05-28,-588.7,Transaction 37,Apple_India,Mumbai,2,SBI,1,1
38,2,2015-05-21,-631.59,Transaction 38,Apple_India,Mumbai,2,SBI,1,1
39,2,2015-05-06,87.49,Transaction 39,Apple_India,Mumbai,2,SBI,1,1
40,2,2015-05-12,-621.91,Transaction 40,Apple_India,Mumbai,2,SBI,1,1
41,2,2015-05-16,857.1,Transaction 41,Apple_India,Mumbai,2,SBI,1,1
42,2,2015-05-01,696.76,Transaction 42,Apple_India,Mumbai,2,SBI,1,1
43,2,2015-05-12,284.97,Transaction 43,Apple_India,Mumbai,2,SBI,1,1
44,2,2015-05-03,-335.55,Transaction 44,Apple_India,Mumbai,2,SBI,1,1
45,2,2015-05-17,658.84,Transaction 45,Apple_India,Mumbai,2,SBI,1,1
46,2,2015-05-28,-724.54,Transaction 46,Apple_India,Mumbai,2,SBI,1,1
47,2,2015-05-05,-466.71,Transaction 47,Apple_India,Mumbai,2,SBI,1,1
48,2,2015-05-19,131.96,Transaction 48,Apple_India,Mumbai,2,SBI,1,1
49,2,2015-05-01,-452.2,Transaction 49,Apple_India,Mumbai,2,SBI,1,1
50,2,2015-05-21,-937.0,Transaction 50,Apple_India,Mumbai,2,SBI,1,1
