transaction_id,statement_id,date,amount,description,company_name,branch_name,branch_id,bank_name,user_id,company_id
1,4,2015-05-12,709.12,Transaction 1,Apple_US,New York,4,Chase,2,2
2,4,2015-05-03,770.33,Transaction 2,Apple_US,New York,4,Chase,2,2
3,4,2015-05-21,-474.48,Transaction 3,Apple_US,New York,4,Chase,2,2
4,4,2015-05-25,275.97,Transaction 4,Apple_US,New York,4,Chase,2,2
5,4,2015-05-04,-823.75,Transaction 5,Apple_US,New York,4,Chase,2,2
6,4,2015-05-08,295.44,Transaction 6,Apple_US,New York,4,Chase,2,2
7,4,2015-05-08,-333.47,Transaction 7,Apple_US,New York,4,Chase,2,2
8,4,2015-05-10,166.36,Transaction 8,Apple_US,New York,4,Chase,2,2
9,4,2015-05-06,-940.07,Transaction 9,Apple_US,New York,4,Chase,2,2
10,4,2015-05-17,242.79,Transaction 10,Apple_US,New York,4,Chase,2,2
11,4,2015-05-04,55.65,Transaction 11,Apple_US,New York,4,Chase,2,2
12,4,2015-05-05,-90.19,Transaction 12,Apple_US,New York,4,Chase,2,2
13,4,2015-05-22,-886.54,Transaction 13,Apple_US,New York,4,Chase,2,2
14,4,2015-05-04,398.11,Transaction 14,Apple_US,New York,4,Chase,2,2
15,4,2015-05-01,432.95,Transaction 15,Apple_US,New York,4,Chase,2,2
16,4,2015-05-30,-100.7,Transaction 16,Apple_US,New York,4,Chase,2,2
17,4,2015-05-02,-861.56,Transaction 17,Apple_US,New York,4,Chase,2,2
18,4,2015-05-24,-141.27,Transaction 18,Apple_US,New York,4,Chase,2,2
19,4,2015-05-03,-743.36,Transaction 19,Apple_US,New York,4,Chase,2,2
20,4,2015-05-25,62.94,Transaction 20,Apple_US,New York,4,Chase,2,2
21,4,2015-05-01,-287.25,Transaction 21,Apple_US,New York,4,Chase,2,2
22,4,2015-05-03,577.62,Transaction 22,Apple_US,New York,4,Chase,2,2
23,4,2015-05-01,-78.9,Transaction 23,Apple_US,New York,4,Chase,2,2
24,4,2015-05-24,-119.06,Transaction 24,Apple_US,New York,4,Chase,2,2
25,4,2015-05-06,593.59,Transaction 25,Apple_US,New York,4,Chase,2,2
26,4,2015-05-16,-670.48,Transaction 26,Apple_US,New York,4,Chase,2,2
27,4,2015-05-08,450.31,Transaction 27,Apple_US,New York,4,Chase,2,2
28,4,2015-05-26,870.59,Transaction 28,Apple_US,New York,4,Chase,2,2
29,4,2015-05-16,-212.48,Transaction 29,Apple_US,New York,4,Chase,2,2
30,4,2015-05-10,709.1,Transaction 30,Apple_US,New York,4,Chase,2,2
31,4,2015-05-26,-374.15,Transaction 31,Apple_US,New York,4,Chase,2,2
32,4,2015-05-17,-447.74,Transaction 32,Apple_US,New York,4,Chase,2,2
33,4,2015-05-16,-58.86,Transaction 33,Apple_US,New York,4,Chase,2,2
34,4,2015-05-13,-657.3,Transaction 34,Apple_US,New York,4,Chase,2,2
35,4,2015-05-30,-670.37,Transaction 35,Apple_US,New York,4,Chase,2,2
36,4,2015-05-27,901.32,Transaction 36,Apple_US,New York,4,Chase,2,2
37,4,2015-05-14,550.26,Transaction 37,Apple_US,New York,4,Chase,2,2
38,4,2015-05-07,-816.06,Transaction 38,Apple_US,New York,4,Chase,2,2
39,4,2015-05-09,450.37,Transaction 39,Apple_US,New York,4,Chase,2,2
40,4,2015-05-05,630.15,Transaction 40,Apple_US,New York,4,Chase,2,2
41,4,2015-05-28,678.04,Transaction 41,Apple_US,New York,4,Chase,2,2
42,4,2015-05-06,-957.2,Transaction 42,Apple_US,New York,4,Chase,2,2
43,4,2015-05-30,286.13,Transaction 43,Apple_US,New York,4,Chase,2,2
44,4,2015-05-20,468.56,Transaction 44,Apple_US,New York,4,Chase,2,2
45,4,2015-05-03,-554.48,Transaction 45,Apple_US,New York,4,Chase,2,2
46,4,2015-05-07,-967.51,Transaction 46,Apple_US,New York,4,Chase,2,2
47,4,2015-05-19,-754.31,Transaction 47,Apple_US,New York,4,Chase,2,2
48,4,2015-05-17,-210.17,Transaction 48,Apple_US,New York,4,Chase,2,2
49,4,2015-05-23,175.05,Transaction 49,Apple_US,New York,4,Chase,2,2
50,4,2015-05-27,-630.68,Transaction 50,Apple_US,New York,4,Chase,2,2
51,4,2015-05-22,939.53,Transaction 51,Apple_US,New York,4,Chase,2,2
52,4,2015-05-15,731.1,Transaction 52,Apple_US,New York,4,Chase,2,2
53,4,2015-05-08,747.75,Transaction 53,Apple_US,New York,4,Chase,2,2
54,4,2015-05-25,486.29,Transaction 54,Apple_US,New York,4,Chase,2,2
55,4,2015-05-19,173.6,Transaction 55,Apple_US,New York,4,Chase,2,2
56,4,2015-05-11,294.58,Transaction 56,Apple_US,New York,4,Chase,2,2
57,4,2015-05-01,625.69,Transaction 57,Apple_US,New York,4,Chase,2,2
58,4,2015-05-14,-391.1,Transaction 58,Apple_US,New York,4,Chase,2,2
59,4,2015-05-29,981.97,Transaction 59,Apple_US,New York,4,Chase,2,2
60,4,2015-05-01,-78.92,Transaction 60,Apple_US,New York,4,Chase,2,2
61,4,2015-05-04,213.47,Transaction 61,Apple_US,New York,4,Chase,2,2
62,4,2015-05-12,491.46,Transaction 62,Apple_US,New York,4,Chase,2,2
63,4,2015-05-05,905.56,Transaction 63,Apple_US,New York,4,Chase,2,2
64,4,2015-05-23,-129.17,Transaction 64,Apple_US,New York,4,Chase,2,2
65,4,2015-05-16,-636.89,Transaction 65,Apple_US,New York,4,Chase,2,2
66,4,2015-05-01,559.26,Transaction 66,Apple_US,New York,4,Chase,2,2
67,4,2015-05-26,-627.92,Transaction 67,Apple_US,New York,4,Chase,2,2
68,4,2015-05-07,-112.07,Transaction 68,Apple_US,New York,4,Chase,2,2
69,4,2015-05-15,222.64,Transaction 69,Apple_US,New York,4,Chase,2,2
70,4,2015-05-21,742.24,Transaction 70,Apple_US,New York,4,Chase,2,2
71,4,2015-05-23,-429.15,Transaction 71,Apple_US,New York,4,Chase,2,2
72,4,2015-05-06,-316.69,Transaction 72,Apple_US,New York,4,Chase,2,2
73,4,2015-05-09,-933.24,Transaction 73,Apple_US,New York,4,Chase,2,2
74,4,2015-05-03,-714.91,Transaction 74,Apple_US,New York,4,Chase,2,2
75,4,2015-05-31,110.55,Transaction 75,Apple_US,New York,4,Chase,2,2
76,4,2015-05-03,346.42,Transaction 76,Apple_US,New York,4,Chase,2,2
77,4,2015-05-01,208.43,Transaction 77,Apple_US,New York,4,Chase,2,2
78,4,2015-05-16,-696.24,Transaction 78,Apple_US,New York,4,Chase,2,2
79,4,2015-05-17,-627.28,Transaction 79,Apple_US,New York,4,Chase,2,2
80,4,2015-05-08,55.27,Transaction 80,Apple_US,New York,4,Chase,2,2
81,4,2015-05-06,-597.44,Transaction 81,Apple_US,New York,4,Chase,2,2
82,4,2015-05-10,-915.98,Transaction 82,Apple_US,New York,4,Chase,2,2
83,4,2015-05-03,134.19,Transaction 83,Apple_US,New York,4,Chase,2,2
84,4,2015-05-20,-704.63,Transaction 84,Apple_US,New York,4,Chase,2,2
85,4,2015-05-22,260.49,Transaction 85,Apple_US,New York,4,Chase,2,2
86,4,2015-05-07,-198.35,Transaction 86,Apple_US,New York,4,Chase,2,2
87,4,2015-05-29,873.6,Transaction 87,Apple_US,New York,4,Chase,2,2
88,4,2015-05-17,-539.69,Transaction 88,Apple_US,New York,4,Chase,2,2
89,4,2015-05-02,-522.69,Transaction 89,Apple_US,New York,4,Chase,2,2
90,4,2015-05-25,170.36,Transaction 90,Apple_US,New York,4,Chase,2,2
91,4,2015-05-15,-49.49,Transaction 91,Apple_US,New York,4,Chase,2,2
92,4,2015-05-29,-565.0,Transaction 92,Apple_US,New York,4,Chase,2,2
93,4,2015-05-02,-661.13,Transaction 93,Apple_US,New York,4,Chase,2,2
94,4,2015-05-25,-826.57,Transaction 94,Apple_US,New York,4,Chase,2,2
95,4,2015-05-26,-879.81,Transaction 95,Apple_US,New York,4,Chase,2,2
96,4,2015-05-09,-964.88,Transaction 96,Apple_US,New York,4,Chase,2,2
97,4,2015-05-24,-459.3,Transaction 97,Apple_US,New York,4,Chase,2,2
98,4,2015-05-20,658.98,Transaction 98,Apple_US,New York,4,Chase,2,2
99,4,2015-05-29,-883.87,Transaction 99,Apple_US,New York,4,Chase,2,2
100,4,2015-05-16,-553.29,Transaction 100,Apple_US,New York,4,Chase,2,2
