transaction_id,statement_id,date,amount,description,company_name,branch_name,branch_id,bank_name,user_id,company_id
1,5,2000-01-27,-943.17,Transaction 1,Apple_US,San Francisco,5,Chase,2,2
2,5,2000-01-27,803.26,Transaction 2,Apple_US,San Francisco,5,Chase,2,2
3,5,2000-01-29,971.06,Transaction 3,Apple_US,San Francisco,5,Chase,2,2
4,5,2000-01-31,288.29,Transaction 4,Apple_US,San Francisco,5,Chase,2,2
5,5,2000-01-21,272.74,Transaction 5,Apple_US,San Francisco,5,Chase,2,2
6,5,2000-01-20,847.13,Transaction 6,Apple_US,San Francisco,5,Chase,2,2
7,5,2000-01-29,338.43,Transaction 7,Apple_US,San Francisco,5,Chase,2,2
8,5,2000-01-28,749.04,Transaction 8,Apple_US,San Francisco,5,Chase,2,2
9,5,2000-01-16,-265.38,Transaction 9,Apple_US,San Francisco,5,Chase,2,2
10,5,2000-01-02,445.74,Transaction 10,Apple_US,San Francisco,5,Chase,2,2
11,5,2000-01-24,316.26,Transaction 11,Apple_US,San Francisco,5,Chase,2,2
12,5,2000-01-03,-915.81,Transaction 12,Apple_US,San Francisco,5,Chase,2,2
13,5,2000-01-01,146.07,Transaction 13,Apple_US,San Francisco,5,Chase,2,2
14,5,2000-01-04,119.62,Transaction 14,Apple_US,San Francisco,5,Chase,2,2
15,5,2000-01-30,-498.86,Transaction 15,Apple_US,San Francisco,5,Chase,2,2
16,5,2000-01-22,-939.55,Transaction 16,Apple_US,San Francisco,5,Chase,2,2
17,5,2000-01-14,-981.67,Transaction 17,Apple_US,San Francisco,5,Chase,2,2
18,5,2000-01-04,446.94,Transaction 18,Apple_US,San Francisco,5,Chase,2,2
19,5,2000-01-15,-398.51,Transaction 19,Apple_US,San Francisco,5,Chase,2,2
20,5,2000-01-22,-803.86,Transaction 20,Apple_US,San Francisco,5,Chase,2,2
21,5,2000-01-05,-181.86,Transaction 21,Apple_US,San Francisco,5,Chase,2,2
22,5,2000-01-23,-959.22,Transaction 22,Apple_US,San Francisco,5,Chase,2,2
23,5,2000-01-07,-537.47,Transaction 23,Apple_US,San Francisco,5,Chase,2,2
24,5,2000-01-09,-651.74,Transaction 24,Apple_US,San Francisco,5,Chase,2,2
25,5,2000-01-28,25.93,Transaction 25,Apple_US,San Francisco,5,Chase,2,2
26,5,2000-01-19,-221.77,Transaction 26,Apple_US,San Francisco,5,Chase,2,2
27,5,2000-01-12,-402.01,Transaction 27,Apple_US,San Francisco,5,Chase,2,2
28,5,2000-01-25,-631.96,Transaction 28,Apple_US,San Francisco,5,Chase,2,2
29,5,2000-01-29,245.58,Transaction 29,Apple_US,San Francisco,5,Chase,2,2
30,5,2000-01-12,-3.11,Transaction 30,Apple_US,San Francisco,5,Chase,2,2
31,5,2000-01-25,516.53,Transaction 31,Apple_US,San Francisco,5,Chase,2,2
32,5,2000-01-17,-50.4,Transaction 32,Apple_US,San Francisco,5,Chase,2,2
33,5,2000-01-12,-700.28,Transaction 33,Apple_US,San Francisco,5,Chase,2,2
34,5,2000-01-14,66.46,Transaction 34,Apple_US,San Francisco,5,Chase,2,2
35,5,2000-01-19,571.31,Transaction 35,Apple_US,San Francisco,5,Chase,2,2
36,5,2000-01-10,-219.93,Transaction 36,Apple_US,San Francisco,5,Chase,2,2
37,5,2000-01-14,-365.14,Transaction 37,Apple_US,San Francisco,5,Chase,2,2
38,5,2000-01-17,-615.16,Transaction 38,Apple_US,San Francisco,5,Chase,2,2
39,5,2000-01-05,-694.17,Transaction 39,Apple_US,San Francisco,5,Chase,2,2
40,5,2000-01-10,-439.01,Transaction 40,Apple_US,San Francisco,5,Chase,2,2
41,5,2000-01-21,416.97,Transaction 41,Apple_US,San Francisco,5,Chase,2,2
42,5,2000-01-22,-97.02,Transaction 42,Apple_US,San Francisco,5,Chase,2,2
43,5,2000-01-20,964.81,Transaction 43,Apple_US,San Francisco,5,Chase,2,2
44,5,2000-01-08,-584.61,Transaction 44,Apple_US,San Francisco,5,Chase,2,2
45,5,2000-01-13,-821.59,Transaction 45,Apple_US,San Francisco,5,Chase,2,2
46,5,2000-01-06,-862.55,Transaction 46,Apple_US,San Francisco,5,Chase,2,2
47,5,2000-01-23,-295.99,Transaction 47,Apple_US,San Francisco,5,Chase,2,2
48,5,2000-01-17,207.22,Transaction 48,Apple_US,San Francisco,5,Chase,2,2
49,5,2000-01-17,766.11,Transaction 49,Apple_US,San Francisco,5,Chase,2,2
50,5,2000-01-15,774.6,Transaction 50,Apple_US,San Francisco,5,Chase,2,2
51,5,2000-01-16,-188.96,Transaction 51,Apple_US,San Francisco,5,Chase,2,2
52,5,2000-01-27,940.15,Transaction 52,Apple_US,San Francisco,5,Chase,2,2
53,5,2000-01-11,987.39,Transaction 53,Apple_US,San Francisco,5,Chase,2,2
54,5,2000-01-17,961.11,Transaction 54,Apple_US,San Francisco,5,Chase,2,2
55,5,2000-01-17,-696.58,Transaction 55,Apple_US,San Francisco,5,Chase,2,2
56,5,2000-01-31,-966.96,Transaction 56,Apple_US,San Francisco,5,Chase,2,2
57,5,2000-01-13,-65.04,Transaction 57,Apple_US,San Francisco,5,Chase,2,2
58,5,2000-01-16,-907.85,Transaction 58,Apple_US,San Francisco,5,Chase,2,2
59,5,2000-01-03,-648.44,Transaction 59,Apple_US,San Francisco,5,Chase,2,2
60,5,2000-01-06,-158.67,Transaction 60,Apple_US,San Francisco,5,Chase,2,2
61,5,2000-01-21,481.47,Transaction 61,Apple_US,San Francisco,5,Chase,2,2
62,5,2000-01-10,-511.77,Transaction 62,Apple_US,San Francisco,5,Chase,2,2
63,5,2000-01-13,500.24,Transaction 63,Apple_US,San Francisco,5,Chase,2,2
64,5,2000-01-27,993.48,Transaction 64,Apple_US,San Francisco,5,Chase,2,2
65,5,2000-01-15,-299.89,Transaction 65,Apple_US,San Francisco,5,Chase,2,2
66,5,2000-01-22,502.25,Transaction 66,Apple_US,San Francisco,5,Chase,2,2
67,5,2000-01-15,-238.6,Transaction 67,Apple_US,San Francisco,5,Chase,2,2
68,5,2000-01-18,-911.07,Transaction 68,Apple_US,San Francisco,5,Chase,2,2
69,5,2000-01-20,410.13,Transaction 69,Apple_US,San Francisco,5,Chase,2,2
70,5,2000-01-14,-358.79,Transaction 70,Apple_US,San Francisco,5,Chase,2,2
71,5,2000-01-19,206.79,Transaction 71,Apple_US,San Francisco,5,Chase,2,2
72,5,2000-01-18,699.16,Transaction 72,Apple_US,San Francisco,5,Chase,2,2
73,5,2000-01-11,109.82,Transaction 73,Apple_US,San Francisco,5,Chase,2,2
74,5,2000-01-02,-86.48,Transaction 74,Apple_US,San Francisco,5,Chase,2,2
75,5,2000-01-27,-146.51,Transaction 75,Apple_US,San Francisco,5,Chase,2,2
76,5,2000-01-01,96.3,Transaction 76,Apple_US,San Francisco,5,Chase,2,2
77,5,2000-01-14,563.24,Transaction 77,Apple_US,San Francisco,5,Chase,2,2
78,5,2000-01-22,-321.6,Transaction 78,Apple_US,San Francisco,5,Chase,2,2
79,5,2000-01-11,-330.87,Transaction 79,Apple_US,San Francisco,5,Chase,2,2
80,5,2000-01-06,379.18,Transaction 80,Apple_US,San Francisco,5,Chase,2,2
81,5,2000-01-28,827.58,Transaction 81,Apple_US,San Francisco,5,Chase,2,2
82,5,2000-01-04,991.2,Transaction 82,Apple_US,San Francisco,5,Chase,2,2
83,5,2000-01-02,640.51,Transaction 83,Apple_US,San Francisco,5,Chase,2,2
84,5,2000-01-24,32.12,Transaction 84,Apple_US,San Francisco,5,Chase,2,2
85,5,2000-01-25,-367.46,Transaction 85,Apple_US,San Francisco,5,Chase,2,2
86,5,2000-01-06,-895.92,Transaction 86,Apple_US,San Francisco,5,Chase,2,2
87,5,2000-01-17,-561.39,Transaction 87,Apple_US,San Francisco,5,Chase,2,2
88,5,2000-01-19,458.17,Transaction 88,Apple_US,San Francisco,5,Chase,2,2
89,5,2000-01-25,880.37,Transaction 89,Apple_US,San Francisco,5,Chase,2,2
90,5,2000-01-19,-417.88,Transaction 90,Apple_US,San Francisco,5,Chase,2,2
91,5,2000-01-17,619.21,Transaction 91,Apple_US,San Francisco,5,Chase,2,2
92,5,2000-01-02,-575.69,Transaction 92,Apple_US,San Francisco,5,Chase,2,2
