transaction_id,statement_id,date,amount,description,company_name,branch_name,branch_id,bank_name,user_id,company_id
1,7,2004-05-14,-399.25,Transaction 1,Google_India,Bangalore,7,ICICI,3,3
2,7,2004-05-15,985.62,Transaction 2,Google_India,Bangalore,7,ICICI,3,3
3,7,2004-05-31,-898.79,Transaction 3,Google_India,Bangalore,7,ICICI,3,3
4,7,2004-05-25,801.1,Transaction 4,Google_India,Bangalore,7,ICICI,3,3
5,7,2004-05-02,740.36,Transaction 5,Google_India,Bangalore,7,ICICI,3,3
6,7,2004-05-20,989.43,Transaction 6,Google_India,Bangalore,7,ICICI,3,3
7,7,2004-05-31,-680.83,Transaction 7,Google_India,Bangalore,7,ICICI,3,3
8,7,2004-05-30,501.19,Transaction 8,Google_India,Bangalore,7,ICICI,3,3
9,7,2004-05-25,51.0,Transaction 9,Google_India,Bangalore,7,ICICI,3,3
10,7,2004-05-28,-423.15,Transaction 10,Google_India,Bangalore,7,ICICI,3,3
11,7,2004-05-29,360.66,Transaction 11,Google_India,Bangalore,7,ICICI,3,3
12,7,2004-05-27,629.82,Transaction 12,Google_India,Bangalore,7,ICICI,3,3
13,7,2004-05-26,512.27,Transaction 13,Google_India,Bangalore,7,ICICI,3,3
14,7,2004-05-26,543.8,Transaction 14,Google_India,Bangalore,7,ICICI,3,3
15,7,2004-05-11,-196.65,Transaction 15,Google_India,Bangalore,7,ICICI,3,3
16,7,2004-05-28,159.9,Transaction 16,Google_India,Bangalore,7,ICICI,3,3
17,7,2004-05-06,-994.76,Transaction 17,Google_India,Bangalore,7,ICICI,3,3
18,7,2004-05-31,-851.1,Transaction 18,Google_India,Bangalore,7,ICICI,3,3
19,7,2004-05-07,35.78,Transaction 19,Google_India,Bangalore,7,ICICI,3,3
20,7,2004-05-19,332.33,Transaction 20,Google_India,Bangalore,7,ICICI,3,3
21,7,2004-05-14,840.07,Transaction 21,Google_India,Bangalore,7,ICICI,3,3
22,7,2004-05-21,-329.47,Transaction 22,Google_India,Bangalore,7,ICICI,3,3
23,7,2004-05-28,-879.1,Transaction 23,Google_India,Bangalore,7,ICICI,3,3
24,7,2004-05-26,661.65,Transaction 24,Google_India,Bangalore,7,ICICI,3,3
25,7,2004-05-26,658.9,Transaction 25,Google_India,Bangalore,7,ICICI,3,3
26,7,2004-05-05,945.48,Transaction 26,Google_India,Bangalore,7,ICICI,3,3
27,7,2004-05-09,254.73,Transaction 27,Google_India,Bangalore,7,ICICI,3,3
28,7,2004-05-13,-59.02,Transaction 28,Google_India,Bangalore,7,ICICI,3,3
29,7,2004-05-01,623.13,Transaction 29,Google_India,Bangalore,7,ICICI,3,3
30,7,2004-05-26,-282.72,Transaction 30,Google_India,Bangalore,7,ICICI,3,3
31,7,2004-05-28,-974.21,Transaction 31,Google_India,Bangalore,7,ICICI,3,3
32,7,2004-05-14,-765.06,Transaction 32,Google_India,Bangalore,7,ICICI,3,3
33,7,2004-05-13,553.66,Transaction 33,Google_India,Bangalore,7,ICICI,3,3
34,7,2004-05-24,-837.5,Transaction 34,Google_India,Bangalore,7,ICICI,3,3
35,7,2004-05-28,-844.04,Transaction 35,Google_India,Bangalore,7,ICICI,3,3
36,7,2004-05-19,383.65,Transaction 36,Google_India,Bangalore,7,ICICI,3,3
37,7,2004-05-20,-317.51,Transaction 37,Google_India,Bangalore,7,ICICI,3,3
38,7,2004-05-05,-456.44,Transaction 38,Google_India,Bangalore,7,ICICI,3,3
39,7,2004-05-29,-758.54,Transaction 39,Google_India,Bangalore,7,ICICI,3,3
40,7,2004-05-18,266.4,Transaction 40,Google_India,Bangalore,7,ICICI,3,3
41,7,2004-05-23,232.34,Transaction 41,Google_India,Bangalore,7,ICICI,3,3
42,7,2004-05-19,-334.38,Transaction 42,Google_India,Bangalore,7,ICICI,3,3
43,7,2004-05-09,-472.44,Transaction 43,Google_India,Bangalore,7,ICICI,3,3
44,7,2004-05-15,784.43,Transaction 44,Google_India,Bangalore,7,ICICI,3,3
45,7,2004-05-12,-68.24,Transaction 45,Google_India,Bangalore,7,ICICI,3,3
46,7,2004-05-21,305.36,Transaction 46,Google_India,Bangalore,7,ICICI,3,3
47,7,2004-05-08,-349.07,Transaction 47,Google_India,Bangalore,7,ICICI,3,3
48,7,2004-05-22,-190.04,Transaction 48,Google_India,Bangalore,7,ICICI,3,3
49,7,2004-05-01,668.42,Transaction 49,Google_India,Bangalore,7,ICICI,3,3
50,7,2004-05-29,-205.92,Transaction 50,Google_India,Bangalore,7,ICICI,3,3
51,7,2004-05-23,656.87,Transaction 51,Google_India,Bangalore,7,ICICI,3,3
52,7,2004-05-18,301.35,Transaction 52,Google_India,Bangalore,7,ICICI,3,3
53,7,2004-05-02,356.48,Transaction 53,Google_India,Bangalore,7,ICICI,3,3
54,7,2004-05-15,-194.07,Transaction 54,Google_India,Bangalore,7,ICICI,3,3
55,7,2004-05-24,142.18,Transaction 55,Google_India,Bangalore,7,ICICI,3,3
56,7,2004-05-07,271.06,Transaction 56,Google_India,Bangalore,7,ICICI,3,3
57,7,2004-05-02,-12.82,Transaction 57,Google_India,Bangalore,7,ICICI,3,3
58,7,2004-05-20,-108.88,Transaction 58,Google_India,Bangalore,7,ICICI,3,3
59,7,2004-05-24,-545.84,Transaction 59,Google_India,Bangalore,7,ICICI,3,3
60,7,2004-05-31,600.76,Transaction 60,Google_India,Bangalore,7,ICICI,3,3
61,7,2004-05-15,393.36,Transaction 61,Google_India,Bangalore,7,ICICI,3,3
62,7,2004-05-16,318.87,Transaction 62,Google_India,Bangalore,7,ICICI,3,3
63,7,2004-05-21,389.07,Transaction 63,Google_India,Bangalore,7,ICICI,3,3
64,7,2004-05-15,876.0,Transaction 64,Google_India,Bangalore,7,ICICI,3,3
65,7,2004-05-04,390.85,Transaction 65,Google_India,Bangalore,7,ICICI,3,3
66,7,2004-05-13,-68.02,Transaction 66,Google_India,Bangalore,7,ICICI,3,3
67,7,2004-05-27,223.98,Transaction 67,Google_India,Bangalore,7,ICICI,3,3
68,7,2004-05-12,119.69,Transaction 68,Google_India,Bangalore,7,ICICI,3,3
69,7,2004-05-09,547.93,Transaction 69,Google_India,Bangalore,7,ICICI,3,3
70,7,2004-05-30,-313.62,Transaction 70,Google_India,Bangalore,7,ICICI,3,3
71,7,2004-05-15,156.34,Transaction 71,Google_India,Bangalore,7,ICICI,3,3
72,7,2004-05-24,721.8,Transaction 72,Google_India,Bangalore,7,ICICI,3,3
73,7,2004-05-12,-621.07,Transaction 73,Google_India,Bangalore,7,ICICI,3,3
