transaction_id,statement_id,date,amount,description,company_name,branch_name,branch_id,bank_name,user_id,company_id
1,10,2000-01-26,-320.16,Transaction 1,Google_US,Mountain View,10,DBS,4,4
2,10,2000-01-25,38.8,Transaction 2,Google_US,Mountain View,10,DBS,4,4
3,10,2000-01-14,829.21,Transaction 3,Google_US,Mountain View,10,DBS,4,4
4,10,2000-01-27,861.86,Transaction 4,Google_US,Mountain View,10,DBS,4,4
5,10,2000-01-21,-75.76,Transaction 5,Google_US,Mountain View,10,DBS,4,4
6,10,2000-01-26,-285.42,Transaction 6,Google_US,Mountain View,10,DBS,4,4
7,10,2000-01-18,909.06,Transaction 7,Google_US,Mountain View,10,DBS,4,4
8,10,2000-01-06,-46.51,Transaction 8,Google_US,Mountain View,10,DBS,4,4
9,10,2000-01-14,345.64,Transaction 9,Google_US,Mountain View,10,DBS,4,4
10,10,2000-01-28,-201.57,Transaction 10,Google_US,Mountain View,10,DBS,4,4
11,10,2000-01-08,-322.55,Transaction 11,Google_US,Mountain View,10,DBS,4,4
12,10,2000-01-31,-375.95,Transaction 12,Google_US,Mountain View,10,DBS,4,4
13,10,2000-01-09,-232.33,Transaction 13,Google_US,Mountain View,10,DBS,4,4
14,10,2000-01-12,-484.8,Transaction 14,Google_US,Mountain View,10,DBS,4,4
15,10,2000-01-27,380.43,Transaction 15,Google_US,Mountain View,10,DBS,4,4
16,10,2000-01-06,90.76,Transaction 16,Google_US,Mountain View,10,DBS,4,4
17,10,2000-01-27,354.52,Transaction 17,Google_US,Mountain View,10,DBS,4,4
18,10,2000-01-10,-336.65,Transaction 18,Google_US,Mountain View,10,DBS,4,4
19,10,2000-01-18,944.64,Transaction 19,Google_US,Mountain View,10,DBS,4,4
20,10,2000-01-05,-912.31,Transaction 20,Google_US,Mountain View,10,DBS,4,4
21,10,2000-01-31,592.5,Transaction 21,Google_US,Mountain View,10,DBS,4,4
22,10,2000-01-19,329.08,Transaction 22,Google_US,Mountain View,10,DBS,4,4
23,10,2000-01-23,900.59,Transaction 23,Google_US,Mountain View,10,DBS,4,4
24,10,2000-01-12,-102.92,Transaction 24,Google_US,Mountain View,10,DBS,4,4
25,10,2000-01-30,-242.83,Transaction 25,Google_US,Mountain View,10,DBS,4,4
26,10,2000-01-17,-614.89,Transaction 26,Google_US,Mountain View,10,DBS,4,4
27,10,2000-01-28,-594.11,Transaction 27,Google_US,Mountain View,10,DBS,4,4
28,10,2000-01-12,-576.06,Transaction 28,Google_US,Mountain View,10,DBS,4,4
29,10,2000-01-08,-473.9,Transaction 29,Google_US,Mountain View,10,DBS,4,4
30,10,2000-01-30,-667.04,Transaction 30,Google_US,Mountain View,10,DBS,4,4
31,10,2000-01-15,-946.3,Transaction 31,Google_US,Mountain View,10,DBS,4,4
32,10,2000-01-08,-246.16,Transaction 32,Google_US,Mountain View,10,DBS,4,4
33,10,2000-01-28,-750.9,Transaction 33,Google_US,Mountain View,10,DBS,4,4
34,10,2000-01-30,-993.63,Transaction 34,Google_US,Mountain View,10,DBS,4,4
35,10,2000-01-25,831.79,Transaction 35,Google_US,Mountain View,10,DBS,4,4
36,10,2000-01-15,627.57,Transaction 36,Google_US,Mountain View,10,DBS,4,4
37,10,2000-01-19,-71.23,Transaction 37,Google_US,Mountain View,10,DBS,4,4
38,10,2000-01-30,-582.28,Transaction 38,Google_US,Mountain View,10,DBS,4,4
39,10,2000-01-04,872.85,Transaction 39,Google_US,Mountain View,10,DBS,4,4
40,10,2000-01-23,383.98,Transaction 40,Google_US,Mountain View,10,DBS,4,4
41,10,2000-01-14,-280.42,Transaction 41,Google_US,Mountain View,10,DBS,4,4
42,10,2000-01-30,670.05,Transaction 42,Google_US,Mountain View,10,DBS,4,4
43,10,2000-01-12,-673.51,Transaction 43,Google_US,Mountain View,10,DBS,4,4
44,10,2000-01-19,361.12,Transaction 44,Google_US,Mountain View,10,DBS,4,4
45,10,2000-01-01,773.66,Transaction 45,Google_US,Mountain View,10,DBS,4,4
46,10,2000-01-07,-296.21,Transaction 46,Google_US,Mountain View,10,DBS,4,4
47,10,2000-01-29,863.2,Transaction 47,Google_US,Mountain View,10,DBS,4,4
48,10,2000-01-11,-0.58,Transaction 48,Google_US,Mountain View,10,DBS,4,4
49,10,2000-01-20,-103.02,Transaction 49,Google_US,Mountain View,10,DBS,4,4
50,10,2000-01-29,-476.12,Transaction 50,Google_US,Mountain View,10,DBS,4,4
51,10,2000-01-09,901.64,Transaction 51,Google_US,Mountain View,10,DBS,4,4
52,10,2000-01-11,962.7,Transaction 52,Google_US,Mountain View,10,DBS,4,4
53,10,2000-01-31,-132.3,Transaction 53,Google_US,Mountain View,10,DBS,4,4
54,10,2000-01-05,-157.59,Transaction 54,Google_US,Mountain View,10,DBS,4,4
55,10,2000-01-19,-36.2,Transaction 55,Google_US,Mountain View,10,DBS,4,4
56,10,2000-01-15,807.83,Transaction 56,Google_US,Mountain View,10,DBS,4,4
57,10,2000-01-19,-815.87,Transaction 57,Google_US,Mountain View,10,DBS,4,4
58,10,2000-01-04,73.47,Transaction 58,Google_US,Mountain View,10,DBS,4,4
59,10,2000-01-06,-807.07,Transaction 59,Google_US,Mountain View,10,DBS,4,4
60,10,2000-01-02,-664.87,Transaction 60,Google_US,Mountain View,10,DBS,4,4
61,10,2000-01-28,-516.87,Transaction 61,Google_US,Mountain View,10,DBS,4,4
62,10,2000-01-22,-445.12,Transaction 62,Google_US,Mountain View,10,DBS,4,4
