transaction_id,statement_id,date,amount,description,company_name,branch_name,branch_id,bank_name,user_id,company_id
1,11,2015-05-21,952.75,Transaction 1,Google_US,Seattle,11,DBS,4,4
2,11,2015-05-17,423.36,Transaction 2,Google_US,Seattle,11,DBS,4,4
3,11,2015-05-13,-516.34,Transaction 3,Google_US,Seattle,11,DBS,4,4
4,11,2015-05-06,-796.97,Transaction 4,Google_US,Seattle,11,DBS,4,4
5,11,2015-05-11,243.67,Transaction 5,Google_US,Seattle,11,DBS,4,4
6,11,2015-05-21,-813.67,Transaction 6,Google_US,Seattle,11,DBS,4,4
7,11,2015-05-20,-322.78,Transaction 7,Google_US,Seattle,11,DBS,4,4
8,11,2015-05-14,-844.6,Transaction 8,Google_US,Seattle,11,DBS,4,4
9,11,2015-05-17,-227.55,Transaction 9,Google_US,Seattle,11,DBS,4,4
10,11,2015-05-24,291.5,Transaction 10,Google_US,Seattle,11,DBS,4,4
11,11,2015-05-04,-883.07,Transaction 11,Google_US,Seattle,11,DBS,4,4
12,11,2015-05-01,510.48,Transaction 12,Google_US,Seattle,11,DBS,4,4
13,11,2015-05-25,831.77,Transaction 13,Google_US,Seattle,11,DBS,4,4
14,11,2015-05-09,-378.92,Transaction 14,Google_US,Seattle,11,DBS,4,4
15,11,2015-05-16,-127.99,Transaction 15,Google_US,Seattle,11,DBS,4,4
16,11,2015-05-18,221.12,Transaction 16,Google_US,Seattle,11,DBS,4,4
17,11,2015-05-11,266.51,Transaction 17,Google_US,Seattle,11,DBS,4,4
18,11,2015-05-03,279.71,Transaction 18,Google_US,Seattle,11,DBS,4,4
19,11,2015-05-15,957.03,Transaction 19,Google_US,Seattle,11,DBS,4,4
20,11,2015-05-20,987.01,Transaction 20,Google_US,Seattle,11,DBS,4,4
21,11,2015-05-26,-619.81,Transaction 21,Google_US,Seattle,11,DBS,4,4
22,11,2015-05-24,954.05,Transaction 22,Google_US,Seattle,11,DBS,4,4
23,11,2015-05-06,548.41,Transaction 23,Google_US,Seattle,11,DBS,4,4
24,11,2015-05-23,-254.19,Transaction 24,Google_US,Seattle,11,DBS,4,4
25,11,2015-05-07,302.06,Transaction 25,Google_US,Seattle,11,DBS,4,4
26,11,2015-05-27,-313.42,Transaction 26,Google_US,Seattle,11,DBS,4,4
27,11,2015-05-13,-356.35,Transaction 27,Google_US,Seattle,11,DBS,4,4
28,11,2015-05-06,-569.45,Transaction 28,Google_US,Seattle,11,DBS,4,4
29,11,2015-05-17,-914.68,Transaction 29,Google_US,Seattle,11,DBS,4,4
30,11,2015-05-15,734.31,Transaction 30,Google_US,Seattle,11,DBS,4,4
31,11,2015-05-22,-725.03,Transaction 31,Google_US,Seattle,11,DBS,4,4
32,11,2015-05-25,-821.08,Transaction 32,Google_US,Seattle,11,DBS,4,4
33,11,2015-05-08,-488.51,Transaction 33,Google_US,Seattle,11,DBS,4,4
34,11,2015-05-02,749.25,Transaction 34,Google_US,Seattle,11,DBS,4,4
35,11,2015-05-01,408.9,Transaction 35,Google_US,Seattle,11,DBS,4,4
36,11,2015-05-01,653.11,Transaction 36,Google_US,Seattle,11,DBS,4,4
37,11,2015-05-14,231.83,Transaction 37,Google_US,Seattle,11,DBS,4,4
38,11,2015-05-24,192.67,Transaction 38,Google_US,Seattle,11,DBS,4,4
39,11,2015-05-30,200.32,Transaction 39,Google_US,Seattle,11,DBS,4,4
40,11,2015-05-07,643.08,Transaction 40,Google_US,Seattle,11,DBS,4,4
41,11,2015-05-22,-19.27,Transaction 41,Google_US,Seattle,11,DBS,4,4
42,11,2015-05-16,33.32,Transaction 42,Google_US,Seattle,11,DBS,4,4
43,11,2015-05-05,962.13,Transaction 43,Google_US,Seattle,11,DBS,4,4
44,11,2015-05-19,346.22,Transaction 44,Google_US,Seattle,11,DBS,4,4
45,11,2015-05-01,-307.43,Transaction 45,Google_US,Seattle,11,DBS,4,4
46,11,2015-05-11,395.71,Transaction 46,Google_US,Seattle,11,DBS,4,4
47,11,2015-05-26,174.31,Transaction 47,Google_US,Seattle,11,DBS,4,4
48,11,2015-05-15,794.26,Transaction 48,Google_US,Seattle,11,DBS,4,4
49,11,2015-05-25,-747.6,Transaction 49,Google_US,Seattle,11,DBS,4,4
50,11,2015-05-27,-94.88,Transaction 50,Google_US,Seattle,11,DBS,4,4
51,11,2015-05-24,-809.93,Transaction 51,Google_US,Seattle,11,DBS,4,4
52,11,2015-05-11,-246.6,Transaction 52,Google_US,Seattle,11,DBS,4,4
53,11,2015-05-04,-175.49,Transaction 53,Google_US,Seattle,11,DBS,4,4
54,11,2015-05-15,466.96,Transaction 54,Google_US,Seattle,11,DBS,4,4
55,11,2015-05-04,640.29,Transaction 55,Google_US,Seattle,11,DBS,4,4
56,11,2015-05-07,-758.26,Transaction 56,Google_US,Seattle,11,DBS,4,4
57,11,2015-05-13,-611.95,Transaction 57,Google_US,Seattle,11,DBS,4,4
58,11,2015-05-07,-194.21,Transaction 58,Google_US,Seattle,11,DBS,4,4
59,11,2015-05-23,679.28,Transaction 59,Google_US,Seattle,11,DBS,4,4
60,11,2015-05-16,217.87,Transaction 60,Google_US,Seattle,11,DBS,4,4
61,11,2015-05-10,-603.5,Transaction 61,Google_US,Seattle,11,DBS,4,4
62,11,2015-05-20,604.07,Transaction 62,Google_US,Seattle,11,DBS,4,4
63,11,2015-05-01,-871.72,Transaction 63,Google_US,Seattle,11,DBS,4,4
64,11,2015-05-30,-301.12,Transaction 64,Google_US,Seattle,11,DBS,4,4
65,11,2015-05-03,56.64,Transaction 65,Google_US,Seattle,11,DBS,4,4
66,11,2015-05-02,21.16,Transaction 66,Google_US,Seattle,11,DBS,4,4
67,11,2015-05-26,-813.52,Transaction 67,Google_US,Seattle,11,DBS,4,4
68,11,2015-05-24,139.82,Transaction 68,Google_US,Seattle,11,DBS,4,4
69,11,2015-05-24,221.27,Transaction 69,Google_US,Seattle,11,DBS,4,4
70,11,2015-05-20,190.42,Transaction 70,Google_US,Seattle,11,DBS,4,4
71,11,2015-05-30,-140.02,Transaction 71,Google_US,Seattle,11,DBS,4,4
72,11,2015-05-07,-232.49,Transaction 72,Google_US,Seattle,11,DBS,4,4
73,11,2015-05-07,-345.42,Transaction 73,Google_US,Seattle,11,DBS,4,4
74,11,2015-05-16,266.52,Transaction 74,Google_US,Seattle,11,DBS,4,4
75,11,2015-05-27,650.73,Transaction 75,Google_US,Seattle,11,DBS,4,4
76,11,2015-05-07,-894.57,Transaction 76,Google_US,Seattle,11,DBS,4,4
77,11,2015-05-08,561.61,Transaction 77,Google_US,Seattle,11,DBS,4,4
78,11,2015-05-08,905.2,Transaction 78,Google_US,Seattle,11,DBS,4,4
79,11,2015-05-13,-543.13,Transaction 79,Google_US,Seattle,11,DBS,4,4
80,11,2015-05-09,580.6,Transaction 80,Google_US,Seattle,11,DBS,4,4
81,11,2015-05-13,171.24,Transaction 81,Google_US,Seattle,11,DBS,4,4
82,11,2015-05-07,-644.83,Transaction 82,Google_US,Seattle,11,DBS,4,4
83,11,2015-05-11,-710.04,Transaction 83,Google_US,Seattle,11,DBS,4,4
84,11,2015-05-16,-175.97,Transaction 84,Google_US,Seattle,11,DBS,4,4
85,11,2015-05-07,237.24,Transaction 85,Google_US,Seattle,11,DBS,4,4
86,11,2015-05-30,537.85,Transaction 86,Google_US,Seattle,11,DBS,4,4
87,11,2015-05-31,677.27,Transaction 87,Google_US,Seattle,11,DBS,4,4
88,11,2015-05-12,-917.04,Transaction 88,Google_US,Seattle,11,DBS,4,4
89,11,2015-05-10,318.81,Transaction 89,Google_US,Seattle,11,DBS,4,4
90,11,2015-05-17,-587.45,Transaction 90,Google_US,Seattle,11,DBS,4,4
91,11,2015-05-06,-998.01,Transaction 91,Google_US,Seattle,11,DBS,4,4
92,11,2015-05-06,679.33,Transaction 92,Google_US,Seattle,11,DBS,4,4
93,11,2015-05-02,-200.76,Transaction 93,Google_US,Seattle,11,DBS,4,4
94,11,2015-05-01,534.42,Transaction 94,Google_US,Seattle,11,DBS,4,4
95,11,2015-05-01,-300.61,Transaction 95,Google_US,Seattle,11,DBS,4,4
96,11,2015-05-01,764.55,Transaction 96,Google_US,Seattle,11,DBS,4,4
97,11,2015-05-09,767.07,Transaction 97,Google_US,Seattle,11,DBS,4,4
98,11,2015-05-22,-191.72,Transaction 98,Google_US,Seattle,11,DBS,4,4
99,11,2015-05-10,-764.7,Transaction 99,Google_US,Seattle,11,DBS,4,4
100,11,2015-05-24,-875.23,Transaction 100,Google_US,Seattle,11,DBS,4,4
