transaction_id,statement_id,date,amount,description,company_name,branch_name,branch_id,bank_name,user_id,company_id
1,1,2016-01-29,281.01,Transaction 1,Apple_India,Hyderabad,1,SBI,1,1
2,1,2016-01-23,919.89,Transaction 2,Apple_India,Hyderabad,1,SBI,1,1
3,1,2016-01-28,-781.27,Transaction 3,Apple_India,Hyderabad,1,SBI,1,1
4,1,2016-01-07,-626.12,Transaction 4,Apple_India,Hyderabad,1,SBI,1,1
5,1,2016-01-18,-332.37,Transaction 5,Apple_India,Hyderabad,1,SBI,1,1
6,1,2016-01-31,795.76,Transaction 6,Apple_India,Hyderabad,1,SBI,1,1
7,1,2016-01-10,567.91,Transaction 7,Apple_India,Hyderabad,1,SBI,1,1
8,1,2016-01-08,708.74,Transaction 8,Apple_India,Hyderabad,1,SBI,1,1
9,1,2016-01-15,304.14,Transaction 9,Apple_India,Hyderabad,1,SBI,1,1
10,1,2016-01-02,-480.58,Transaction 10,Apple_India,Hyderabad,1,SBI,1,1
11,1,2016-01-19,742.13,Transaction 11,Apple_India,Hyderabad,1,SBI,1,1
12,1,2016-01-18,-679.69,Transaction 12,Apple_India,Hyderabad,1,SBI,1,1
13,1,2016-01-31,-509.17,Transaction 13,Apple_India,Hyderabad,1,SBI,1,1
14,1,2016-01-17,-299.86,Transaction 14,Apple_India,Hyderabad,1,SBI,1,1
15,1,2016-01-31,-557.07,Transaction 15,Apple_India,Hyderabad,1,SBI,1,1
16,1,2016-01-09,-246.39,Transaction 16,Apple_India,Hyderabad,1,SBI,1,1
17,1,2016-01-05,850.69,Transaction 17,Apple_India,Hyderabad,1,SBI,1,1
18,1,2016-01-06,348.61,Transaction 18,Apple_India,Hyderabad,1,SBI,1,1
19,1,2016-01-01,-851.44,Transaction 19,Apple_India,Hyderabad,1,SBI,1,1
20,1,2016-01-14,-874.31,Transaction 20,Apple_India,Hyderabad,1,SBI,1,1
21,1,2016-01-31,-182.77,Transaction 21,Apple_India,Hyderabad,1,SBI,1,1
22,1,2016-01-09,674.87,Transaction 22,Apple_India,Hyderabad,1,SBI,1,1
23,1,2016-01-22,-176.65,Transaction 23,Apple_India,Hyderabad,1,SBI,1,1
24,1,2016-01-26,994.28,Transaction 24,Apple_India,Hyderabad,1,SBI,1,1
25,1,2016-01-23,67.38,Transaction 25,Apple_India,Hyderabad,1,SBI,1,1
26,1,2016-01-02,525.5,Transaction 26,Apple_India,Hyderabad,1,SBI,1,1
27,1,2016-01-18,549.21,Transaction 27,Apple_India,Hyderabad,1,SBI,1,1
28,1,2016-01-15,525.11,Transaction 28,Apple_India,Hyderabad,1,SBI,1,1
29,1,2016-01-24,150.87,Transaction 29,Apple_India,Hyderabad,1,SBI,1,1
30,1,2016-01-22,-92.78,Transaction 30,Apple_India,Hyderabad,1,SBI,1,1
31,1,2016-01-08,-254.89,Transaction 31,Apple_India,Hyderabad,1,SBI,1,1
32,1,2016-01-15,808.15,Transaction 32,Apple_India,Hyderabad,1,SBI,1,1
33,1,2016-01-16,837.84,Transaction 33,Apple_India,Hyderabad,1,SBI,1,1
34,1,2016-01-31,592.88,Transaction 34,Apple_India,Hyderabad,1,SBI,1,1
35,1,2016-01-04,644.96,Transaction 35,Apple_India,Hyderabad,1,SBI,1,1
36,1,2016-01-20,-610.89,Transaction 36,Apple_India,Hyderabad,1,SBI,1,1
37,1,2016-01-22,217.46,Transaction 37,Apple_India,Hyderabad,1,SBI,1,1
38,1,2016-01-14,-36.75,Transaction 38,Apple_India,Hyderabad,1,SBI,1,1
39,1,2016-01-27,655.58,Transaction 39,Apple_India,Hyderabad,1,SBI,1,1
40,1,2016-01-18,134.47,Transaction 40,Apple_India,Hyderabad,1,SBI,1,1
41,1,2016-01-14,-103.69,Transaction 41,Apple_India,Hyderabad,1,SBI,1,1
42,1,2016-01-30,390.63,Transaction 42,Apple_India,Hyderabad,1,SBI,1,1
43,1,2016-01-15,223.42,Transaction 43,Apple_India,Hyderabad,1,SBI,1,1
44,1,2016-01-25,-973.96,Transaction 44,Apple_India,Hyderabad,1,SBI,1,1
45,1,2016-01-07,-782.64,Transaction 45,Apple_India,Hyderabad,1,SBI,1,1
46,1,2016-01-20,672.77,Transaction 46,Apple_India,Hyderabad,1,SBI,1,1
47,1,2016-01-03,127.93,Transaction 47,Apple_India,Hyderabad,1,SBI,1,1
48,1,2016-01-12,15.81,Transaction 48,Apple_India,Hyderabad,1,SBI,1,1
49,1,2016-01-30,-933.24,Transaction 49,Apple_India,Hyderabad,1,SBI,1,1
50,1,2016-01-06,-949.31,Transaction 50,Apple_India,Hyderabad,1,SBI,1,1
51,1,2016-01-17,-471.28,Transaction 51,Apple_India,Hyderabad,1,SBI,1,1
52,1,2016-01-30,398.5,Transaction 52,Apple_India,Hyderabad,1,SBI,1,1
53,1,2016-01-10,309.03,Transaction 53,Apple_India,Hyderabad,1,SBI,1,1
54,1,2016-01-28,-338.98,Transaction 54,Apple_India,Hyderabad,1,SBI,1,1
55,1,2016-01-03,-279.47,Transaction 55,Apple_India,Hyderabad,1,SBI,1,1
56,1,2016-01-20,-900.03,Transaction 56,Apple_India,Hyderabad,1,SBI,1,1
57,1,2016-01-12,589.6,Transaction 57,Apple_India,Hyderabad,1,SBI,1,1
58,1,2016-01-06,151.37,Transaction 58,Apple_India,Hyderabad,1,SBI,1,1
59,1,2016-01-12,-601.22,Transaction 59,Apple_India,Hyderabad,1,SBI,1,1
60,1,2016-01-21,712.55,Transaction 60,Apple_India,Hyderabad,1,SBI,1,1
61,1,2016-01-06,-270.18,Transaction 61,Apple_India,Hyderabad,1,SBI,1,1
62,1,2016-01-12,-414.02,Transaction 62,Apple_India,Hyderabad,1,SBI,1,1
63,1,2016-01-22,-231.62,Transaction 63,Apple_India,Hyderabad,1,SBI,1,1
64,1,2016-01-17,-362.24,Transaction 64,Apple_India,Hyderabad,1,SBI,1,1
65,1,2016-01-24,545.01,Transaction 65,Apple_India,Hyderabad,1,SBI,1,1
66,1,2016-01-10,277.56,Transaction 66,Apple_India,Hyderabad,1,SBI,1,1
67,1,2016-01-01,601.48,Transaction 67,Apple_India,Hyderabad,1,SBI,1,1
68,1,2016-01-28,-642.85,Transaction 68,Apple_India,Hyderabad,1,SBI,1,1
69,1,2016-01-28,331.36,Transaction 69,Apple_India,Hyderabad,1,SBI,1,1
70,1,2016-01-20,331.15,Transaction 70,Apple_India,Hyderabad,1,SBI,1,1
71,1,2016-01-29,750.13,Transaction 71,Apple_India,Hyderabad,1,SBI,1,1
72,1,2016-01-21,300.15,Transaction 72,Apple_India,Hyderabad,1,SBI,1,1
73,1,2016-01-28,-391.19,Transaction 73,Apple_India,Hyderabad,1,SBI,1,1
74,1,2016-01-06,-731.23,Transaction 74,Apple_India,Hyderabad,1,SBI,1,1
75,1,2016-01-04,-528.69,Transaction 75,Apple_India,Hyderabad,1,SBI,1,1
76,1,2016-01-31,-755.12,Transaction 76,Apple_India,Hyderabad,1,SBI,1,1
77,1,2016-01-25,316.15,Transaction 77,Apple_India,Hyderabad,1,SBI,1,1
78,1,2016-01-21,914.08,Transaction 78,Apple_India,Hyderabad,1,SBI,1,1
79,1,2016-01-14,-121.96,Transaction 79,Apple_India,Hyderabad,1,SBI,1,1
80,1,2016-01-14,-204.74,Transaction 80,Apple_India,Hyderabad,1,SBI,1,1
81,1,2016-01-27,704.72,Transaction 81,Apple_India,Hyderabad,1,SBI,1,1
82,1,2016-01-13,-353.67,Transaction 82,Apple_India,Hyderabad,1,SBI,1,1
83,1,2016-01-10,-765.84,Transaction 83,Apple_India,Hyderabad,1,SBI,1,1
84,1,2016-01-27,-757.24,Transaction 84,Apple_India,Hyderabad,1,SBI,1,1
85,1,2016-01-06,-170.49,Transaction 85,Apple_India,Hyderabad,1,SBI,1,1
86,1,2016-01-08,238.96,Transaction 86,Apple_India,Hyderabad,1,SBI,1,1
87,1,2016-01-27,356.99,Transaction 87,Apple_India,Hyderabad,1,SBI,1,1
88,1,2016-01-22,-582.81,Transaction 88,Apple_India,Hyderabad,1,SBI,1,1
89,1,2016-01-27,-217.77,Transaction 89,Apple_India,Hyderabad,1,SBI,1,1
90,1,2016-01-16,162.81,Transaction 90,Apple_India,Hyderabad,1,SBI,1,1
91,1,2016-01-18,955.68,Transaction 91,Apple_India,Hyderabad,1,SBI,1,1
92,1,2016-01-24,497.31,Transaction 92,Apple_India,Hyderabad,1,SBI,1,1
93,1,2016-01-14,951.94,Transaction 93,Apple_India,Hyderabad,1,SBI,1,1
94,1,2016-01-14,238.57,Transaction 94,Apple_India,Hyderabad,1,SBI,1,1
95,1,2016-01-23,-833.75,Transaction 95,Apple_India,Hyderabad,1,SBI,1,1
96,1,2016-01-03,-571.37,Transaction 96,Apple_India,Hyderabad,1,SBI,1,1
97,1,2016-01-13,-177.4,Transaction 97,Apple_India,Hyderabad,1,SBI,1,1
98,1,2016-01-28,-343.04,Transaction 98,Apple_India,Hyderabad,1,SBI,1,1
99,1,2016-01-07,-416.81,Transaction 99,Apple_India,Hyderabad,1,SBI,1,1
100,1,2016-01-06,534.02,Transaction 100,Apple_India,Hyderabad,1,SBI,1,1
