transaction_id,statement_id,date,amount,description,company_name,branch_name,branch_id,bank_name,user_id,company_id
1,7,2016-01-28,-696.08,Transaction 1,Google_India,Bangalore,7,ICICI,3,3
2,7,2016-01-20,299.67,Transaction 2,Google_India,Bangalore,7,ICICI,3,3
3,7,2016-01-14,589.59,Transaction 3,Google_India,Bangalore,7,ICICI,3,3
4,7,2016-01-07,-485.98,Transaction 4,Google_India,Bangalore,7,ICICI,3,3
5,7,2016-01-21,974.24,Transaction 5,Google_India,Bangalore,7,ICICI,3,3
6,7,2016-01-05,-514.21,Transaction 6,Google_India,Bangalore,7,ICICI,3,3
7,7,2016-01-30,937.88,Transaction 7,Google_India,Bangalore,7,ICICI,3,3
8,7,2016-01-22,27.62,Transaction 8,Google_India,Bangalore,7,ICICI,3,3
9,7,2016-01-07,500.13,Transaction 9,Google_India,Bangalore,7,ICICI,3,3
10,7,2016-01-09,-565.94,Transaction 10,Google_India,Bangalore,7,ICICI,3,3
11,7,2016-01-16,477.51,Transaction 11,Google_India,Bangalore,7,ICICI,3,3
12,7,2016-01-23,960.28,Transaction 12,Google_India,Bangalore,7,ICICI,3,3
13,7,2016-01-11,-11.33,Transaction 13,Google_India,Bangalore,7,ICICI,3,3
14,7,2016-01-19,-456.35,Transaction 14,Google_India,Bangalore,7,ICICI,3,3
15,7,2016-01-10,473.18,Transaction 15,Google_India,Bangalore,7,ICICI,3,3
16,7,2016-01-11,-942.37,Transaction 16,Google_India,Bangalore,7,ICICI,3,3
17,7,2016-01-08,772.07,Transaction 17,Google_India,Bangalore,7,ICICI,3,3
18,7,2016-01-27,-262.98,Transaction 18,Google_India,Bangalore,7,ICICI,3,3
19,7,2016-01-07,-532.73,Transaction 19,Google_India,Bangalore,7,ICICI,3,3
20,7,2016-01-20,927.37,Transaction 20,Google_India,Bangalore,7,ICICI,3,3
21,7,2016-01-18,-296.29,Transaction 21,Google_India,Bangalore,7,ICICI,3,3
22,7,2016-01-26,-790.61,Transaction 22,Google_India,Bangalore,7,ICICI,3,3
23,7,2016-01-26,688.74,Transaction 23,Google_India,Bangalore,7,ICICI,3,3
24,7,2016-01-14,380.8,Transaction 24,Google_India,Bangalore,7,ICICI,3,3
25,7,2016-01-21,540.72,Transaction 25,Google_India,Bangalore,7,ICICI,3,3
26,7,2016-01-22,67.52,Transaction 26,Google_India,Bangalore,7,ICICI,3,3
27,7,2016-01-28,332.71,Transaction 27,Google_India,Bangalore,7,ICICI,3,3
28,7,2016-01-23,-214.39,Transaction 28,Google_India,Bangalore,7,ICICI,3,3
29,7,2016-01-09,-266.8,Transaction 29,Google_India,Bangalore,7,ICICI,3,3
30,7,2016-01-22,868.75,Transaction 30,Google_India,Bangalore,7,ICICI,3,3
31,7,2016-01-04,-14.36,Transaction 31,Google_India,Bangalore,7,ICICI,3,3
32,7,2016-01-05,-596.13,Transaction 32,Google_India,Bangalore,7,ICICI,3,3
33,7,2016-01-10,790.02,Transaction 33,Google_India,Bangalore,7,ICICI,3,3
34,7,2016-01-11,50.89,Transaction 34,Google_India,Bangalore,7,ICICI,3,3
35,7,2016-01-26,800.31,Transaction 35,Google_India,Bangalore,7,ICICI,3,3
36,7,2016-01-17,838.03,Transaction 36,Google_India,Bangalore,7,ICICI,3,3
37,7,2016-01-12,464.06,Transaction 37,Google_India,Bangalore,7,ICICI,3,3
38,7,2016-01-10,-150.12,Transaction 38,Google_India,Bangalore,7,ICICI,3,3
39,7,2016-01-24,-644.48,Transaction 39,Google_India,Bangalore,7,ICICI,3,3
40,7,2016-01-22,-908.78,Transaction 40,Google_India,Bangalore,7,ICICI,3,3
41,7,2016-01-20,987.04,Transaction 41,Google_India,Bangalore,7,ICICI,3,3
42,7,2016-01-18,895.18,Transaction 42,Google_India,Bangalore,7,ICICI,3,3
43,7,2016-01-13,956.61,Transaction 43,Google_India,Bangalore,7,ICICI,3,3
44,7,2016-01-30,-392.43,Transaction 44,Google_India,Bangalore,7,ICICI,3,3
45,7,2016-01-21,173.29,Transaction 45,Google_India,Bangalore,7,ICICI,3,3
46,7,2016-01-07,701.38,Transaction 46,Google_India,Bangalore,7,ICICI,3,3
47,7,2016-01-31,203.43,Transaction 47,Google_India,Bangalore,7,ICICI,3,3
48,7,2016-01-21,711.8,Transaction 48,Google_India,Bangalore,7,ICICI,3,3
49,7,2016-01-03,70.91,Transaction 49,Google_India,Bangalore,7,ICICI,3,3
50,7,2016-01-15,558.54,Transaction 50,Google_India,Bangalore,7,ICICI,3,3
51,7,2016-01-14,-197.01,Transaction 51,Google_India,Bangalore,7,ICICI,3,3
52,7,2016-01-20,430.84,Transaction 52,Google_India,Bangalore,7,ICICI,3,3
53,7,2016-01-26,-879.19,Transaction 53,Google_India,Bangalore,7,ICICI,3,3
54,7,2016-01-29,823.82,Transaction 54,Google_India,Bangalore,7,ICICI,3,3
55,7,2016-01-18,-42.5,Transaction 55,Google_India,Bangalore,7,ICICI,3,3
56,7,2016-01-21,884.11,Transaction 56,Google_India,Bangalore,7,ICICI,3,3
57,7,2016-01-14,-397.87,Transaction 57,Google_India,Bangalore,7,ICICI,3,3
58,7,2016-01-09,327.7,Transaction 58,Google_India,Bangalore,7,ICICI,3,3
59,7,2016-01-01,861.62,Transaction 59,Google_India,Bangalore,7,ICICI,3,3
60,7,2016-01-26,-370.12,Transaction 60,Google_India,Bangalore,7,ICICI,3,3
61,7,2016-01-24,-235.23,Transaction 61,Google_India,Bangalore,7,ICICI,3,3
62,7,2016-01-18,-298.81,Transaction 62,Google_India,Bangalore,7,ICICI,3,3
63,7,2016-01-01,-244.17,Transaction 63,Google_India,Bangalore,7,ICICI,3,3
64,7,2016-01-19,-397.77,Transaction 64,Google_India,Bangalore,7,ICICI,3,3
65,7,2016-01-08,708.01,Transaction 65,Google_India,Bangalore,7,ICICI,3,3
66,7,2016-01-04,211.86,Transaction 66,Google_India,Bangalore,7,ICICI,3,3
67,7,2016-01-07,548.78,Transaction 67,Google_India,Bangalore,7,ICICI,3,3
68,7,2016-01-29,-884.22,Transaction 68,Google_India,Bangalore,7,ICICI,3,3
69,7,2016-01-17,-596.25,Transaction 69,Google_India,Bangalore,7,ICICI,3,3
70,7,2016-01-23,85.13,Transaction 70,Google_India,Bangalore,7,ICICI,3,3
71,7,2016-01-25,-163.56,Transaction 71,Google_India,Bangalore,7,ICICI,3,3
72,7,2016-01-22,-386.87,Transaction 72,Google_India,Bangalore,7,ICICI,3,3
73,7,2016-01-28,578.8,Transaction 73,Google_India,Bangalore,7,ICICI,3,3
74,7,2016-01-18,-460.01,Transaction 74,Google_India,Bangalore,7,ICICI,3,3
75,7,2016-01-15,-87.07,Transaction 75,Google_India,Bangalore,7,ICICI,3,3
76,7,2016-01-16,95.58,Transaction 76,Google_India,Bangalore,7,ICICI,3,3
77,7,2016-01-31,-238.3,Transaction 77,Google_India,Bangalore,7,ICICI,3,3
78,7,2016-01-14,582.47,Transaction 78,Google_India,Bangalore,7,ICICI,3,3
79,7,2016-01-29,-307.89,Transaction 79,Google_India,Bangalore,7,ICICI,3,3
80,7,2016-01-31,-270.19,Transaction 80,Google_India,Bangalore,7,ICICI,3,3
81,7,2016-01-26,929.77,Transaction 81,Google_India,Bangalore,7,ICICI,3,3
82,7,2016-01-03,-569.08,Transaction 82,Google_India,Bangalore,7,ICICI,3,3
83,7,2016-01-18,7.05,Transaction 83,Google_India,Bangalore,7,ICICI,3,3
84,7,2016-01-11,-958.68,Transaction 84,Google_India,Bangalore,7,ICICI,3,3
85,7,2016-01-08,-764.2,Transaction 85,Google_India,Bangalore,7,ICICI,3,3
86,7,2016-01-26,-599.82,Transaction 86,Google_India,Bangalore,7,ICICI,3,3
87,7,2016-01-09,879.41,Transaction 87,Google_India,Bangalore,7,ICICI,3,3
88,7,2016-01-10,-209.33,Transaction 88,Google_India,Bangalore,7,ICICI,3,3
89,7,2016-01-22,-2.69,Transaction 89,Google_India,Bangalore,7,ICICI,3,3
90,7,2016-01-06,-161.68,Transaction 90,Google_India,Bangalore,7,ICICI,3,3
91,7,2016-01-17,107.92,Transaction 91,Google_India,Bangalore,7,ICICI,3,3
92,7,2016-01-22,531.42,Transaction 92,Google_India,Bangalore,7,ICICI,3,3
93,7,2016-01-19,289.62,Transaction 93,Google_India,Bangalore,7,ICICI,3,3
94,7,2016-01-28,158.81,Transaction 94,Google_India,Bangalore,7,ICICI,3,3
95,7,2016-01-07,26.31,Transaction 95,Google_India,Bangalore,7,ICICI,3,3
96,7,2016-01-05,-345.33,Transaction 96,Google_India,Bangalore,7,ICICI,3,3
97,7,2016-01-04,28.53,Transaction 97,Google_India,Bangalore,7,ICICI,3,3
98,7,2016-01-13,-33.63,Transaction 98,Google_India,Bangalore,7,ICICI,3,3
99,7,2016-01-26,231.12,Transaction 99,Google_India,Bangalore,7,ICICI,3,3
100,7,2016-01-01,-949.14,Transaction 100,Google_India,Bangalore,7,ICICI,3,3
