transaction_id,statement_id,date,amount,description,company_name,branch_name,branch_id,bank_name,user_id,company_id
1,8,2015-05-02,-224.03,Transaction 1,Google_India,Delhi,8,ICICI,3,3
2,8,2015-05-29,313.22,Transaction 2,Google_India,Delhi,8,ICICI,3,3
3,8,2015-05-02,662.83,Transaction 3,Google_India,Delhi,8,ICICI,3,3
4,8,2015-05-13,-557.09,Transaction 4,Google_India,Delhi,8,ICICI,3,3
5,8,2015-05-29,-293.16,Transaction 5,Google_India,Delhi,8,ICICI,3,3
6,8,2015-05-22,-849.38,Transaction 6,Google_India,Delhi,8,ICICI,3,3
7,8,2015-05-15,604.04,Transaction 7,Google_India,Delhi,8,ICICI,3,3
8,8,2015-05-22,937.73,Transaction 8,Google_India,Delhi,8,ICICI,3,3
9,8,2015-05-31,448.32,Transaction 9,Google_India,Delhi,8,ICICI,3,3
10,8,2015-05-25,292.44,Transaction 10,Google_India,Delhi,8,ICICI,3,3
11,8,2015-05-24,-508.2,Transaction 11,Google_India,Delhi,8,ICICI,3,3
12,8,2015-05-10,-778.62,Transaction 12,Google_India,Delhi,8,ICICI,3,3
13,8,2015-05-22,-406.42,Transaction 13,Google_India,Delhi,8,ICICI,3,3
14,8,2015-05-24,722.46,Transaction 14,Google_India,Delhi,8,ICICI,3,3
15,8,2015-05-02,6.04,Transaction 15,Google_India,Delhi,8,ICICI,3,3
16,8,2015-05-18,-831.36,Transaction 16,Google_India,Delhi,8,ICICI,3,3
17,8,2015-05-19,-74.78,Transaction 17,Google_India,Delhi,8,ICICI,3,3
18,8,2015-05-27,-386.39,Transaction 18,Google_India,Delhi,8,ICICI,3,3
19,8,2015-05-23,-228.39,Transaction 19,Google_India,Delhi,8,ICICI,3,3
20,8,2015-05-14,517.97,Transaction 20,Google_India,Delhi,8,ICICI,3,3
21,8,2015-05-22,576.4,Transaction 21,Google_India,Delhi,8,ICICI,3,3
22,8,2015-05-16,-810.34,Transaction 22,Google_India,Delhi,8,ICICI,3,3
23,8,2015-05-17,-814.9,Transaction 23,Google_India,Delhi,8,ICICI,3,3
24,8,2015-05-24,-875.45,Transaction 24,Google_India,Delhi,8,ICICI,3,3
25,8,2015-05-19,188.91,Transaction 25,Google_India,Delhi,8,ICICI,3,3
26,8,2015-05-12,660.13,Transaction 26,Google_India,Delhi,8,ICICI,3,3
27,8,2015-05-31,-546.95,Transaction 27,Google_India,Delhi,8,ICICI,3,3
28,8,2015-05-09,64.11,Transaction 28,Google_India,Delhi,8,ICICI,3,3
29,8,2015-05-28,958.65,Transaction 29,Google_India,Delhi,8,ICICI,3,3
30,8,2015-05-13,472.88,Transaction 30,Google_India,Delhi,8,ICICI,3,3
31,8,2015-05-27,62.07,Transaction 31,Google_India,Delhi,8,ICICI,3,3
32,8,2015-05-15,-293.07,Transaction 32,Google_India,Delhi,8,ICICI,3,3
33,8,2015-05-14,877.67,Transaction 33,Google_India,Delhi,8,ICICI,3,3
34,8,2015-05-08,501.48,Transaction 34,Google_India,Delhi,8,ICICI,3,3
35,8,2015-05-19,325.29,Transaction 35,Google_India,Delhi,8,ICICI,3,3
36,8,2015-05-28,-273.0,Transaction 36,Google_India,Delhi,8,ICICI,3,3
37,8,2015-05-30,798.9,Transaction 37,Google_India,Delhi,8,ICICI,3,3
38,8,2015-05-10,-738.03,Transaction 38,Google_India,Delhi,8,ICICI,3,3
39,8,2015-05-26,-126.05,Transaction 39,Google_India,Delhi,8,ICICI,3,3
40,8,2015-05-11,-435.41,Transaction 40,Google_India,Delhi,8,ICICI,3,3
41,8,2015-05-14,-228.21,Transaction 41,Google_India,Delhi,8,ICICI,3,3
42,8,2015-05-25,-893.55,Transaction 42,Google_India,Delhi,8,ICICI,3,3
43,8,2015-05-30,-17.49,Transaction 43,Google_India,Delhi,8,ICICI,3,3
44,8,2015-05-28,-73.82,Transaction 44,Google_India,Delhi,8,ICICI,3,3
45,8,2015-05-06,680.99,Transaction 45,Google_India,Delhi,8,ICICI,3,3
46,8,2015-05-25,-309.98,Transaction 46,Google_India,Delhi,8,ICICI,3,3
47,8,2015-05-31,538.2,Transaction 47,Google_India,Delhi,8,ICICI,3,3
48,8,2015-05-25,-704.72,Transaction 48,Google_India,Delhi,8,ICICI,3,3
49,8,2015-05-18,-209.26,Transaction 49,Google_India,Delhi,8,ICICI,3,3
50,8,2015-05-14,-790.61,Transaction 50,Google_India,Delhi,8,ICICI,3,3
51,8,2015-05-26,-274.3,Transaction 51,Google_India,Delhi,8,ICICI,3,3
52,8,2015-05-26,438.32,Transaction 52,Google_India,Delhi,8,ICICI,3,3
53,8,2015-05-30,-768.32,Transaction 53,Google_India,Delhi,8,ICICI,3,3
54,8,2015-05-31,996.0,Transaction 54,Google_India,Delhi,8,ICICI,3,3
55,8,2015-05-09,-750.29,Transaction 55,Google_India,Delhi,8,ICICI,3,3
56,8,2015-05-19,-934.61,Transaction 56,Google_India,Delhi,8,ICICI,3,3
57,8,2015-05-09,-151.38,Transaction 57,Google_India,Delhi,8,ICICI,3,3
58,8,2015-05-18,-777.35,Transaction 58,Google_India,Delhi,8,ICICI,3,3
59,8,2015-05-04,-431.23,Transaction 59,Google_India,Delhi,8,ICICI,3,3
60,8,2015-05-03,565.96,Transaction 60,Google_India,Delhi,8,ICICI,3,3
61,8,2015-05-07,-244.5,Transaction 61,Google_India,Delhi,8,ICICI,3,3
62,8,2015-05-20,15.96,Transaction 62,Google_India,Delhi,8,ICICI,3,3
63,8,2015-05-14,624.27,Transaction 63,Google_India,Delhi,8,ICICI,3,3
64,8,2015-05-10,-763.75,Transaction 64,Google_India,Delhi,8,ICICI,3,3
65,8,2015-05-07,-860.78,Transaction 65,Google_India,Delhi,8,ICICI,3,3
66,8,2015-05-10,430.57,Transaction 66,Google_India,Delhi,8,ICICI,3,3
67,8,2015-05-18,374.47,Transaction 67,Google_India,Delhi,8,ICICI,3,3
68,8,2015-05-18,-542.16,Transaction 68,Google_India,Delhi,8,ICICI,3,3
69,8,2015-05-10,268.01,Transaction 69,Google_India,Delhi,8,ICICI,3,3
70,8,2015-05-03,-707.18,Transaction 70,Google_India,Delhi,8,ICICI,3,3
71,8,2015-05-01,452.35,Transaction 71,Google_India,Delhi,8,ICICI,3,3
72,8,2015-05-29,-27.63,Transaction 72,Google_India,Delhi,8,ICICI,3,3
73,8,2015-05-09,-304.07,Transaction 73,Google_India,Delhi,8,ICICI,3,3
74,8,2015-05-11,210.22,Transaction 74,Google_India,Delhi,8,ICICI,3,3
75,8,2015-05-10,-380.63,Transaction 75,Google_India,Delhi,8,ICICI,3,3
76,8,2015-05-31,570.21,Transaction 76,Google_India,Delhi,8,ICICI,3,3
77,8,2015-05-31,-415.44,Transaction 77,Google_India,Delhi,8,ICICI,3,3
78,8,2015-05-09,-936.88,Transaction 78,Google_India,Delhi,8,ICICI,3,3
79,8,2015-05-10,531.61,Transaction 79,Google_India,Delhi,8,ICICI,3,3
80,8,2015-05-08,909.52,Transaction 80,Google_India,Delhi,8,ICICI,3,3
81,8,2015-05-04,-15.44,Transaction 81,Google_India,Delhi,8,ICICI,3,3
82,8,2015-05-16,-362.23,Transaction 82,Google_India,Delhi,8,ICICI,3,3
83,8,2015-05-08,499.45,Transaction 83,Google_India,Delhi,8,ICICI,3,3
84,8,2015-05-25,570.46,Transaction 84,Google_India,Delhi,8,ICICI,3,3
85,8,2015-05-22,677.28,Transaction 85,Google_India,Delhi,8,ICICI,3,3
86,8,2015-05-25,307.33,Transaction 86,Google_India,Delhi,8,ICICI,3,3
87,8,2015-05-03,-742.49,Transaction 87,Google_India,Delhi,8,ICICI,3,3
88,8,2015-05-17,-305.1,Transaction 88,Google_India,Delhi,8,ICICI,3,3
89,8,2015-05-07,-235.84,Transaction 89,Google_India,Delhi,8,ICICI,3,3
90,8,2015-05-06,-560.29,Transaction 90,Google_India,Delhi,8,ICICI,3,3
91,8,2015-05-24,-339.82,Transaction 91,Google_India,Delhi,8,ICICI,3,3
92,8,2015-05-13,-73.24,Transaction 92,Google_India,Delhi,8,ICICI,3,3
93,8,2015-05-24,-492.57,Transaction 93,Google_India,Delhi,8,ICICI,3,3
94,8,2015-05-31,690.15,Transaction 94,Google_India,Delhi,8,ICICI,3,3
95,8,2015-05-20,-146.29,Transaction 95,Google_India,Delhi,8,ICICI,3,3
96,8,2015-05-10,-146.46,Transaction 96,Google_India,Delhi,8,ICICI,3,3
