transaction_id,statement_id,date,amount,description,company_name,branch_name,branch_id,bank_name,user_id,company_id
1,12,2004-05-19,-461.73,Transaction 1,Google_US,Austin,12,DBS,4,4
2,12,2004-05-31,224.91,Transaction 2,Google_US,Austin,12,DBS,4,4
3,12,2004-05-13,1.68,Transaction 3,Google_US,Austin,12,DBS,4,4
4,12,2004-05-25,-121.02,Transaction 4,Google_US,Austin,12,DBS,4,4
5,12,2004-05-21,-289.91,Transaction 5,Google_US,Austin,12,DBS,4,4
6,12,2004-05-15,865.72,Transaction 6,Google_US,Austin,12,DBS,4,4
7,12,2004-05-16,-357.11,Transaction 7,Google_US,Austin,12,DBS,4,4
8,12,2004-05-22,951.27,Transaction 8,Google_US,Austin,12,DBS,4,4
9,12,2004-05-06,-935.5,Transaction 9,Google_US,Austin,12,DBS,4,4
10,12,2004-05-04,-963.11,Transaction 10,Google_US,Austin,12,DBS,4,4
11,12,2004-05-22,-425.09,Transaction 11,Google_US,Austin,12,DBS,4,4
12,12,2004-05-15,-910.16,Transaction 12,Google_US,Austin,12,DBS,4,4
13,12,2004-05-05,297.29,Transaction 13,Google_US,Austin,12,DBS,4,4
14,12,2004-05-31,-718.81,Transaction 14,Google_US,Austin,12,DBS,4,4
15,12,2004-05-25,850.63,Transaction 15,Google_US,Austin,12,DBS,4,4
16,12,2004-05-13,-28.66,Transaction 16,Google_US,Austin,12,DBS,4,4
17,12,2004-05-03,847.97,Transaction 17,Google_US,Austin,12,DBS,4,4
18,12,2004-05-23,-666.66,Transaction 18,Google_US,Austin,12,DBS,4,4
19,12,2004-05-29,-776.08,Transaction 19,Google_US,Austin,12,DBS,4,4
20,12,2004-05-02,818.73,Transaction 20,Google_US,Austin,12,DBS,4,4
21,12,2004-05-24,-39.69,Transaction 21,Google_US,Austin,12,DBS,4,4
22,12,2004-05-19,-936.89,Transaction 22,Google_US,Austin,12,DBS,4,4
23,12,2004-05-10,-955.43,Transaction 23,Google_US,Austin,12,DBS,4,4
24,12,2004-05-16,-107.08,Transaction 24,Google_US,Austin,12,DBS,4,4
25,12,2004-05-13,654.57,Transaction 25,Google_US,Austin,12,DBS,4,4
26,12,2004-05-29,-665.43,Transaction 26,Google_US,Austin,12,DBS,4,4
27,12,2004-05-09,-453.56,Transaction 27,Google_US,Austin,12,DBS,4,4
28,12,2004-05-14,394.96,Transaction 28,Google_US,Austin,12,DBS,4,4
29,12,2004-05-20,378.51,Transaction 29,Google_US,Austin,12,DBS,4,4
30,12,2004-05-05,832.69,Transaction 30,Google_US,Austin,12,DBS,4,4
31,12,2004-05-24,-208.93,Transaction 31,Google_US,Austin,12,DBS,4,4
32,12,2004-05-09,-879.82,Transaction 32,Google_US,Austin,12,DBS,4,4
33,12,2004-05-01,554.69,Transaction 33,Google_US,Austin,12,DBS,4,4
34,12,2004-05-08,196.24,Transaction 34,Google_US,Austin,12,DBS,4,4
35,12,2004-05-23,-965.1,Transaction 35,Google_US,Austin,12,DBS,4,4
