transaction_id,statement_id,date,amount,description,company_name,branch_name,branch_id,bank_name,user_id,company_id
1,11,2016-01-01,-854.98,Transaction 1,Google_US,Seattle,11,DBS,4,4
2,11,2016-01-11,-452.99,Transaction 2,Google_US,Seattle,11,DBS,4,4
3,11,2016-01-12,679.83,Transaction 3,Google_US,Seattle,11,DBS,4,4
4,11,2016-01-13,-195.26,Transaction 4,Google_US,Seattle,11,DBS,4,4
5,11,2016-01-30,-475.51,Transaction 5,Google_US,Seattle,11,DBS,4,4
6,11,2016-01-26,477.44,Transaction 6,Google_US,Seattle,11,DBS,4,4
7,11,2016-01-12,-377.7,Transaction 7,Google_US,Seattle,11,DBS,4,4
8,11,2016-01-26,-140.54,Transaction 8,Google_US,Seattle,11,DBS,4,4
9,11,2016-01-01,220.85,Transaction 9,Google_US,Seattle,11,DBS,4,4
10,11,2016-01-06,-130.44,Transaction 10,Google_US,Seattle,11,DBS,4,4
11,11,2016-01-16,856.96,Transaction 11,Google_US,Seattle,11,DBS,4,4
12,11,2016-01-28,-697.94,Transaction 12,Google_US,Seattle,11,DBS,4,4
13,11,2016-01-13,255.22,Transaction 13,Google_US,Seattle,11,DBS,4,4
14,11,2016-01-07,878.6,Transaction 14,Google_US,Seattle,11,DBS,4,4
15,11,2016-01-27,91.34,Transaction 15,Google_US,Seattle,11,DBS,4,4
16,11,2016-01-25,-229.33,Transaction 16,Google_US,Seattle,11,DBS,4,4
17,11,2016-01-10,709.67,Transaction 17,Google_US,Seattle,11,DBS,4,4
18,11,2016-01-19,-442.33,Transaction 18,Google_US,Seattle,11,DBS,4,4
19,11,2016-01-16,942.52,Transaction 19,Google_US,Seattle,11,DBS,4,4
20,11,2016-01-17,136.01,Transaction 20,Google_US,Seattle,11,DBS,4,4
21,11,2016-01-18,679.91,Transaction 21,Google_US,Seattle,11,DBS,4,4
22,11,2016-01-02,663.99,Transaction 22,Google_US,Seattle,11,DBS,4,4
23,11,2016-01-11,136.49,Transaction 23,Google_US,Seattle,11,DBS,4,4
24,11,2016-01-06,-918.34,Transaction 24,Google_US,Seattle,11,DBS,4,4
25,11,2016-01-30,-385.58,Transaction 25,Google_US,Seattle,11,DBS,4,4
26,11,2016-01-17,618.6,Transaction 26,Google_US,Seattle,11,DBS,4,4
27,11,2016-01-14,-538.76,Transaction 27,Google_US,Seattle,11,DBS,4,4
28,11,2016-01-17,-453.11,Transaction 28,Google_US,Seattle,11,DBS,4,4
